lib,dtype,cfg,swizzle,raster,M,N,K,median_us,mean_us,min_us,tflops,clk_before,clk_after,verify,rel_l2,algo,desc,ERROR
cublaslt,bf16,,,,16384,4096,4096,3870.78,3845.74,3627.01,142.0,1386,1386,PASS,1.66e-03,66,,
cublaslt,fp8,,,,16384,4096,4096,2044.91,2032.26,1873.89,268.8,1386,1386,PASS,1.65e-03,66,,
cublaslt,int8,,,,16384,4096,4096,1819.36,1849.97,1790.85,302.2,1386,1386,PASS,0.00e+00,71,,
cublaslt,int8+rescale,,,,16384,4096,4096,3379.81,3379.38,3297.22,162.7,1386,1386,PASS,1.66e-03,71,,
cutlass,fp8,3,16,H,16384,4096,4096,2095.62,2064.28,1854.40,262.3,1386,1386,PASS,1.65e-03,,2SM 256x256x128 cluster2x1x1,
cutlass,fp8,3,0,H,16384,4096,4096,1870.35,1871.90,1646.66,293.9,1386,1386,PASS,1.65e-03,,2SM 256x256x128 cluster2x1x1,
cutlass,fp8,2,16,H,16384,4096,4096,2645.01,2604.81,2386.85,207.8,1386,1386,PASS,1.65e-03,,2SM 256x128x128 cluster2x1x1,
cutlass,fp8,2,0,H,16384,4096,4096,2557.18,2533.89,2392.06,215.0,1386,1386,PASS,1.65e-03,,2SM 256x128x128 cluster2x1x1,
cutlass,fp8,0,16,H,16384,4096,4096,3013.90,3059.52,2996.22,182.4,1386,1386,PASS,1.65e-03,,1SM 128x128x128 cluster1x1x1,
cutlass,fp8,0,0,H,16384,4096,4096,2805.30,2888.38,2793.50,196.0,1386,1386,PASS,1.65e-03,,1SM 128x128x128 cluster1x1x1,
cutlass,fp8,7,16,H,16384,4096,4096,4223.94,4421.26,4178.91,130.2,1386,1386,PASS,1.65e-03,,1SM 64x128x128 cluster1x1x1 (small-M),
cutlass,fp8,7,0,H,16384,4096,4096,4143.65,4362.55,4117.47,132.7,1386,1386,PASS,1.65e-03,,1SM 64x128x128 cluster1x1x1 (small-M),
cutlass,int8,3,16,H,16384,4096,4096,1698.74,1702.10,1674.27,323.6,1386,1386,PASS,1.66e-03,,2SM 256x256x128 cluster2x1x1,
cutlass,int8,3,0,H,16384,4096,4096,1576.34,1622.60,1493.82,348.8,1386,1386,PASS,1.66e-03,,2SM 256x256x128 cluster2x1x1,
cutlass,int8,2,16,H,16384,4096,4096,2340.43,2349.30,2325.47,234.9,1386,1386,PASS,1.66e-03,,2SM 256x128x128 cluster2x1x1,
