lib,dtype,cfg,swizzle,raster,flush,nw,M,N,K,median_us,mean_us,min_us,tflops,clk_before,clk_after,verify,rel_l2,algo,desc,ERROR
cutlass,int8,2,16,H,0,8,4096,4096,4096,593.81,595.79,588.58,231.5,1386,1386,PASS,1.66e-03,,2SM 256x128x128 cluster2x1x1,
cutlass,int8,1,16,H,0,8,4096,4096,4096,600.99,602.18,595.90,228.7,1386,1386,PASS,1.66e-03,,1SM 128x256x128 cluster1x1x1,
cutlass,int8,0,16,H,0,8,4096,4096,4096,760.85,763.05,757.57,180.6,1386,1386,PASS,1.66e-03,,1SM 128x128x128 cluster1x1x1,
cutlass,int8,7,16,H,0,8,4096,4096,4096,1053.78,1057.36,1050.59,130.4,1386,1386,PASS,1.66e-03,,1SM 64x128x128 cluster1x1x1 (small-M),
cublaslt,bf16,,,,0,8,901,1024,4096,53.14,54.35,51.14,142.2,1386,1386,PASS,1.65e-03,66,,
cublaslt,fp8,,,,0,8,901,1024,4096,30.69,31.37,30.43,246.3,1386,1386,PASS,1.66e-03,66,,
cublaslt,int8,,,,0,8,901,1024,4096,38.82,39.42,38.66,194.7,1386,1386,PASS,0.00e+00,71,,
cublaslt,int8+rescale,,,,0,8,901,1024,4096,46.94,47.05,45.44,161.0,1386,1386,PASS,1.65e-03,71,,
cutlass,fp8,3,16,H,0,8,901,1024,4096,36.82,37.05,34.88,205.3,1386,1386,PASS,1.66e-03,,2SM 256x256x128 cluster2x1x1,
cutlass,fp8,2,16,H,0,8,901,1024,4096,46.98,47.30,46.02,160.9,1386,1386,PASS,1.66e-03,,2SM 256x128x128 cluster2x1x1,
cutlass,fp8,1,16,H,0,8,901,1024,4096,44.64,44.94,42.56,169.3,1386,1386,PASS,1.66e-03,,1SM 128x256x128 cluster1x1x1,
cutlass,fp8,0,16,H,0,8,901,1024,4096,59.26,59.52,58.24,127.5,1386,1386,PASS,1.66e-03,,1SM 128x128x128 cluster1x1x1,
cutlass,fp8,7,16,H,0,8,901,1024,4096,77.34,77.63,76.22,97.7,1386,1386,PASS,1.66e-03,,1SM 64x128x128 cluster1x1x1 (small-M),
